title,creator,details,readingTime
60 Days of Yoga,Geoff Teehan,"Nov 30, 2015",
Women Need to Date Carpenters Like Men Date Yoga Instructors,Heidi K. Isern,"Feb 8, 2017",
‘Yoga Guru Pattabhi Jois Sexually Assaulted Me for Years’,Karen Rain,"Oct 9, 2018",
Understanding Clean Code in Android,Yoga C. Pranata,Feb 21,
7 lessons I’ve learned from practicing yoga,Laila Zouaki,"Aug 16, 2017",
Going to Yoga With Charlotte Brontë,Glynnis Fawkes,"Apr 25, 2018",
What I’m Googling: “Only Guy In Yoga Class”,Hassan S. Ali,"Jul 20, 2015",
Why Schools Are Banning Yoga,The Atlantic,"Sep 27, 2018",
How Effective Is YouTube Yoga?,Mariana Lenharo,May 24,
title,creator,details,readingTime
60 Days of Yoga,Geoff Teehan,"Nov 30, 2015","<span class=""readingTime"" title=""3 min read""></span>"
Women Need to Date Carpenters Like Men Date Yoga Instructors,Heidi K. Isern,"Feb 8, 2017","<span class=""readingTime"" title=""5 min read""></span>"
‘Yoga Guru Pattabhi Jois Sexually Assaulted Me for Years’,Karen Rain,"Oct 9, 2018","<span class=""readingTime"" title=""6 min read""></span>"
Understanding Clean Code in Android,Yoga C. Pranata,Feb 21,"<span class=""readingTime"" title=""6 min read""></span>"
7 lessons I’ve learned from practicing yoga,Laila Zouaki,"Aug 16, 2017","<span class=""readingTime"" title=""6 min read""></span>"
Going to Yoga With Charlotte Brontë,Glynnis Fawkes,"Apr 25, 2018","<span class=""readingTime"" title=""3 min read""></span>"
What I’m Googling: “Only Guy In Yoga Class”,Hassan S. Ali,"Jul 20, 2015","<span class=""readingTime"" title=""3 min read""></span>"
Why Schools Are Banning Yoga,The Atlantic,"Sep 27, 2018","<span class=""readingTime"" title=""6 min read""></span>"
How Effective Is YouTube Yoga?,Mariana Lenharo,May 24,"<span class=""readingTime"" title=""6 min read""></span>"
